[2018-08-18T09:28:27.615] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.033s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:27.617] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:32.056] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.006s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:32.059] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:33.341] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/share","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:33.481] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/share","host":"localhost:3000","message":{"responseTime":"响应时间为0.001s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:34.136] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:34.141] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:44.546] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.021s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:44.556] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.012s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:28:46.945] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.001s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
